ORIGINAL	CONTEXT	TRANSLATED

“Oh,” said Kerry respectfully, “these important men—” Amory flushed and it seemed to him that Ferrenby, a defeated competitor, winced a little.	I ought to make up tonight; but I can telephone back, I suppose.” “Oh,” said Kerry respectfully, “these important men—” Amory flushed and it seemed to him that Ferrenby, a defeated competitor, winced a little. Of course, Kerry was only kidding, but he really mustn’t mention the Princetonian.	"Oh," Kerry said, acting respectful, "these important guys—" Amory blushed, and he thought Ferrenby, who'd lost to him, flinched slightly.

Sailors, my lord, they say; I saw them not: They were given me by Claudio; he received them Of him that brought them.	Sailors, my lord, they say; I saw them not: They were given me by Claudio; he received them Of him that brought them.	They say they're sailors, my lord, but I didn't see them. Claudio gave them to me; he got them from the person who brought them.

He was where Goethe was when he began Faust; he was where Conrad was when he wrote Almayer’s Folly.	Amory was alone—he had escaped from a small enclosure into a great labyrinth. He was where Goethe was when he began Faust; he was where Conrad was when he wrote Almayer’s Folly. Amory said to himself that there were essentially two sorts of people who through natural clarity or disillusion left the enclosure and sought the labyrinth.	He was at the same point in his life as Goethe when he started Faust, and Conrad when he wrote Almayer's Folly.

“Morning, Mr. Barlow.”	Amory entered unsteadily. “Morning, Mr. Barlow.” Mr. Barlow brought his glasses to the inspection and set his mouth slightly ajar that he might better listen.	"Good morning, Mr. Barlow."

Banquo and Macbeth, all hail!	Banquo and Macbeth, all hail!	Banquo and Macbeth, all hail!

Though Birnam wood be come to Dunsinane, And thou opposed, being of no woman born, Yet I will try the last.	I will not yield, To kiss the ground before young Malcolm's feet, And to be baited with the rabble's curse. Though Birnam wood be come to Dunsinane, And thou opposed, being of no woman born, Yet I will try the last. Before my body I throw my warlike shield.	Even if Birnam Wood has come to Dunsinane, and even though you oppose me, and you weren't born of a woman, I will still fight to the very end.

Methinks it is like a weasel.	Methinks it is like a weasel.	I think it looks like a weasel.

Not in the legions Of horrid hell can come a devil more damn'd	Not in the legions Of horrid hell can come a devil more damn'd In evils to top Macbeth.	Even hell can't produce a devil more evil.

She was enjoying this immensely, and Froggy Parker was so engrossed with the added sparkle of her rising color that he forgot to pull out Sally’s chair, and fell into a dim confusion.	The dinner-table glittered with laughter at the confusion of getting places and then curious eyes were turned on her, sitting near the head. She was enjoying this immensely, and Froggy Parker was so engrossed with the added sparkle of her rising color that he forgot to pull out Sally’s chair, and fell into a dim confusion. Amory was on the other side, full of confidence and vanity, gazing at her in open admiration.	She loved the attention, and Froggy Parker was so fascinated by her blushing cheeks that he forgot to help Sally with her chair and became flustered.

What a wonderful song, she thought—everything was wonderful tonight, most of all this romantic scene in the den, with their hands clinging and the inevitable looming charmingly close.	“Moonlight is bright, Kiss me good night.” What a wonderful song, she thought—everything was wonderful tonight, most of all this romantic scene in the den, with their hands clinging and the inevitable looming charmingly close. The future vista of her life seemed an unending succession of scenes like this: under moonlight and pale starlight, and in the backs of warm limousines and in low, cosy roadsters stopped under sheltering trees—only the boy might change, and this one was so nice.	She thought the song was wonderful. Everything felt wonderful tonight, especially this romantic moment in the living room, holding hands and knowing a kiss was coming.

The day had put Amory in such a contemplative mood that he caused much annoyance to several motorists who were forced to slow up considerably or else run him down.	The trees and clouds were carved in classical severity; the sounds of the countryside had harmonized to a monotone, metallic as a trumpet, breathless as the Grecian urn. The day had put Amory in such a contemplative mood that he caused much annoyance to several motorists who were forced to slow up considerably or else run him down. So engrossed in his thoughts was he that he was scarcely surprised at that strange phenomenon—cordiality manifested within fifty miles of Manhattan—when a passing car slowed down beside him and a voice hailed him.	Amory was so lost in thought that he annoyed drivers, who had to slow down a lot or risk hitting him.

“Well,” began Tom, “it seems that the idea developed simultaneously in several heads.	“For Pete’s sake, tell me more about it.” “Well,” began Tom, “it seems that the idea developed simultaneously in several heads. I was talking to Burne awhile ago, and he claims that it’s a logical result if an intelligent person thinks long enough about the social system.	"Okay," Tom started, "it looks like several people had the same idea at the same time.

Anybody that’d risk what you were in line for ought to be ineligible for Princetonian chairman.”	“ ’Cause you deserve it. Anybody that’d risk what you were in line for ought to be ineligible for Princetonian chairman.” “Oh, drop the subject,” Amory protested.	Anyone who would risk what you were trying to achieve should not be allowed to be the chairman of the Princetonian.

At five o’clock he felt the need of hearing his own voice, so he retreated to his house to see if anyone else had arrived.	By afternoon Amory realized that now the newest arrivals were taking him for an upper classman, and he tried conscientiously to look both pleasantly blasé and casually critical, which was as near as he could analyze the prevalent facial expression. At five o’clock he felt the need of hearing his own voice, so he retreated to his house to see if anyone else had arrived. Having climbed the rickety stairs he scrutinized his room resignedly, concluding that it was hopeless to attempt any more inspired decoration than class banners and tiger pictures.	At five o'clock, he wanted to hear himself talk, so he went back to his dorm to see if anyone else was there.

Browsing in her library, Amory found a tattered gray book out of which fell a yellow sheet that he impudently opened.	She had had a harried life from sixteen on, and her education had stopped sharply with her leisure. Browsing in her library, Amory found a tattered gray book out of which fell a yellow sheet that he impudently opened. It was a poem that she had written at school about a gray convent wall on a gray day, and a girl with her cloak blown by the wind sitting atop of it and thinking about the many-colored world.	While looking through her library, Amory found a worn-out gray book. A yellow piece of paper fell out, which he cheekily opened.

“Wells, I guess, and Tolstoy, and a man named Edward Carpenter.	“What chiefly started you?” “Wells, I guess, and Tolstoy, and a man named Edward Carpenter. I’ve been reading for over a year now—on a few lines, on what I consider the essential lines.”	I guess Wells, Tolstoy, and Edward Carpenter.

The phrase would be more german to the matter, if we could carry cannon by our sides: I would it might be hangers till then.	The phrase would be more german to the matter, if we could carry cannon by our sides: I would it might be hangers till then. But, on: six Barbary horses against six French swords, their assigns, and three liberal-conceited carriages; that’s the French bet against the Danish.	This would be more relevant if we could carry cannons. I wish we could at least carry short swords until then.

One woe doth tread upon another’s heel, So fast they follow: your sister’s drown’d, Laertes.	One woe doth tread upon another’s heel, So fast they follow: your sister’s drown’d, Laertes.	Trouble comes one right after another, so quickly: your sister, Laertes, has drowned.

Here had we now our country's honour roof'd, Were the graced person of our Banquo present; Who may I rather challenge for unkindness Than pity for mischance!	Here had we now our country's honour roof'd, Were the graced person of our Banquo present; Who may I rather challenge for unkindness Than pity for mischance!	We would have fully honored our country here today if Banquo, our honored guest, were present. I'm more inclined to think he's being rude than that something bad has happened to him.

“Well—” “Goodbye.”	No one person in the world is necessary to you or to me.” “Well—” “Goodbye.”	“Well—” “Goodbye.”

Human beings can’t go ‘tump-tump-tump’ without going crazy.”	I guess that’s the only thing that separates horses and clocks from us. Human beings can’t go ‘tump-tump-tump’ without going crazy.” The breeze freshened and Eleanor pulled her cape around her and shivered.	People can't just do the same thing over and over without going crazy.

Burne stood vaguely for a land Amory hoped he was drifting toward—and it was almost time that land was in sight.	But that night Amory was struck by Burne’s intense earnestness, a quality he was accustomed to associate only with the dread stupidity, and by the great enthusiasm that struck dead chords in his heart. Burne stood vaguely for a land Amory hoped he was drifting toward—and it was almost time that land was in sight. Tom and Amory and Alec had reached an impasse; never did they seem to have new experiences in common, for Tom and Alec had been as blindly busy with their committees and boards as Amory had been blindly idling, and the things they had for dissection—college, contemporary personality and the like—they had hashed and rehashed for many a frugal conversational meal.	Burne represented something Amory wanted to become, and he felt like he was finally getting closer to it.

 From the scoffing superiority of sixth-form year and success Amory looked back with cynical wonder on his status of the year before.	From the scoffing superiority of sixth-form year and success Amory looked back with cynical wonder on his status of the year before. He was changed as completely as Amory Blaine could ever be changed.	From his high position in his final year, now successful and mocking, Amory looked back with disbelief at how he was the year before.

As thick as hail Came post with post; and every one did bear Thy praises in his kingdom's great defence, And pour'd them down before him.	In viewing o'er the rest o' the selfsame day, He finds thee in the stout Norweyan ranks, Nothing afeard of what thyself didst make, Strange images of death. As thick as hail Came post with post; and every one did bear Thy praises in his kingdom's great defence, And pour'd them down before him.	Messages arrived one right after another, as thick as hail, each one praising your heroic defense of the kingdom and showering him with those accolades.

What's the newest grief?	What's the newest grief?	What's the newest grief?

Thunder rolled with menacing crashes up the valley and scattered through the woods in intermittent batteries.	A passing storm decided to break out, and to his great impatience the sky grew black as pitch and the rain began to splatter down through the trees, become suddenly furtive and ghostly. Thunder rolled with menacing crashes up the valley and scattered through the woods in intermittent batteries. He stumbled blindly on, hunting for a way out, and finally, through webs of twisted branches, caught sight of a rift in the trees where the unbroken lightning showed open country.	Thunder boomed loudly up the valley and echoed through the woods in bursts.

“Why write books to prove he started the war—or that that stupid, overestimated Schiller is a demon in disguise?”	“What on earth is the use of suddenly running down Goethe,” he declared to Alec and Tom. “Why write books to prove he started the war—or that that stupid, overestimated Schiller is a demon in disguise?” “Have you ever read anything of theirs?” asked Tom shrewdly.	"Why write books to show he caused the war—or that that dumb, overrated Schiller is secretly evil?"

So he found Dorian Gray and the Mystic and Somber Dolores and the Belle Dame sans Merci; for a month was keen on naught else.	“Yes, I’ll go.” So he found Dorian Gray and the Mystic and Somber Dolores and the Belle Dame sans Merci; for a month was keen on naught else. The world became pale and interesting, and he tried hard to look at Princeton through the satiated eyes of Oscar Wilde and Swinburne—or “Fingal O’Flaherty” and “Algernon Charles,” as he called them in précieuse jest.	He discovered Dorian Gray, the Mystic, the gloomy Dolores, and the Belle Dame sans Merci; he was obsessed with nothing else for a month.

Moreover, amateur standing had very little value in the game they were playing, a game that would presumably be her principal study for years to come.	Isabelle and Amory were distinctly not innocent, nor were they particularly brazen. Moreover, amateur standing had very little value in the game they were playing, a game that would presumably be her principal study for years to come. She had begun as he had, with good looks and an excitable temperament, and the rest was the result of accessible popular novels and dressing-room conversation culled from a slightly older set.	Besides, being inexperienced wasn't helpful in the game they were playing, a game she would likely spend years learning.

So far as he was concerned, young Rosalind was dead.	Never again could he find even the sombre luxury of wanting her—not this Rosalind, harder, older—nor any beaten, broken woman that his imagination brought to the door of his forties—Amory had wanted her youth, the fresh radiance of her mind and body, the stuff that she was selling now once and for all. So far as he was concerned, young Rosalind was dead. A day later came a crisp, terse letter from Mr. Barton in Chicago, which informed him that as three more streetcar companies had gone into the hands of receivers he could expect for the present no further remittances.	As far as he was concerned, the young Rosalind he loved was gone.

Amory, I’m very glad we’re both alive; this war could easily have been the end of a brilliant family.	In any event, I should like to have a house in New York or Washington where you could drop in for weekends. Amory, I’m very glad we’re both alive; this war could easily have been the end of a brilliant family. But in regard to matrimony, you are now at the most dangerous period of your life.	Amory, I'm very happy we both survived; this war could have easily wiped out our family.

But, my lord, his majesty bade me signify to you that he has laid a great wager on your head: sir, this is the matter—	Exceedingly, my lord; it is very sultry—as ’twere—I cannot tell how. But, my lord, his majesty bade me signify to you that he has laid a great wager on your head: sir, this is the matter—	But my lord, the king told me to inform you that he has bet a lot of money on you. That's the situation.

The night and the scarred trees were like scenery in a play, and to be there with Eleanor, shadowy and unreal, seemed somehow oddly familiar.	Flare! The night and the scarred trees were like scenery in a play, and to be there with Eleanor, shadowy and unreal, seemed somehow oddly familiar. Amory thought how it was only the past that ever seemed strange and unbelievable.	Being there with Eleanor, who seemed shadowy and unreal, felt strangely familiar, like we were in a play with the night and the scarred trees as the backdrop.

In a sense this gradual renunciation of beauty was the second step after his disillusion had been made complete.	And in this new loneness of his that had been selected for what greatness he might achieve, beauty must be relative or, itself a harmony, it would make only a discord. In a sense this gradual renunciation of beauty was the second step after his disillusion had been made complete. He felt that he was leaving behind him his chance of being a certain type of artist.	Giving up beauty bit by bit was, in a way, the next thing he did after he lost all his illusions.

You’re all right—you’re a rubber ball, and somehow it suits you, but I’m sick of adapting myself to the local snobbishness of this corner of the world.	“No,” declared Tom emphatically, a new Tom, clothed by Brooks, shod by Franks, “I’ve won this game, but I feel as if I never want to play another. You’re all right—you’re a rubber ball, and somehow it suits you, but I’m sick of adapting myself to the local snobbishness of this corner of the world. I want to go where people aren’t barred because of the color of their neckties and the roll of their coats.”	You're fine the way you are—you bounce back from everything, and it fits you, but I'm tired of changing myself to fit in with the petty snobbery of this place.

There a few gray-haired men sat and talked quietly while the classes swept by in panorama of life.	Amory looked long at one house which bore the legend “Sixty-nine.” There a few gray-haired men sat and talked quietly while the classes swept by in panorama of life.	A few older men sat there, talking quietly, as students hurried past.

If chance will have me king, why, chance may crown me, Without my stir.	If chance will have me king, why, chance may crown me, Without my stir.	If fate wants me to be king, then fate can crown me without me having to do anything.

In ten minutes Amory was devouring cornflakes in Renwick’s, and at nine-thirty they bowled happily out of town, headed for the sands of Deal Beach.	Speed it up, kid!” In ten minutes Amory was devouring cornflakes in Renwick’s, and at nine-thirty they bowled happily out of town, headed for the sands of Deal Beach. “You see,” said Kerry, “the car belongs down there.	In ten minutes, Amory was scarfing down cornflakes at Renwick's, and by 9:30, they were driving out of town, excited to go to Deal Beach.

Ay, my lord; So you will not o’errule me to a peace.	Ay, my lord; So you will not o’errule me to a peace.	Yes, my lord; so you won't force me into a peace.

Am I not i’ the right, old Jephthah?	Am I not i’ the right, old Jephthah?	Am I not right, old Jephthah?

What he said, his attitude toward life, toward her, toward himself, were all reflexes of the dead Englishman’s literary moods.	To some extent Amory tried to play Rupert Brooke as long as he knew Eleanor. What he said, his attitude toward life, toward her, toward himself, were all reflexes of the dead Englishman’s literary moods. Often she sat in the grass, a lazy wind playing with her short hair, her voice husky as she ran up and down the scale from Grantchester to Waikiki.	His words, his outlook on life, on her, and on himself, were all just echoes of the dead Englishman's writing.

Amory did not entirely agree with Tom’s sweeping damnation of American novelists and poets.	I’ll buy you a meal on the arrogance of the last two lines.” Amory did not entirely agree with Tom’s sweeping damnation of American novelists and poets. He enjoyed both Vachel Lindsay and Booth Tarkington, and admired the conscientious, if slender, artistry of Edgar Lee Masters.	Amory didn't completely agree with Tom's harsh criticism of American novelists and poets.

Say to the king the knowledge of the broil As thou didst leave it.	Hail, brave friend! Say to the king the knowledge of the broil As thou didst leave it.	Tell the king what you know about the battle, just as you left it.

There’s probably as much corruption in zinc-made money as brass-made money.	At any rate we’ll have really knockout rooms—you can get a job on some fashion magazine, and Alec can go into the Zinc Company or whatever it is that his people own—he’s looking over my shoulder and he says it’s a brass company, but I don’t think it matters much, do you? There’s probably as much corruption in zinc-made money as brass-made money. As for the well-known Amory, he would write immortal literature if he were sure enough about anything to risk telling anyone else about it.	Money from zinc is probably just as dirty as money from brass.

This trouble pleased her, and later she made use of it as an intrinsic part of her atmosphere—especially after several astounding bracers.	From his fourth to his tenth year he did the country with his mother in her father’s private car, from Coronado, where his mother became so bored that she had a nervous breakdown in a fashionable hotel, down to Mexico City, where she took a mild, almost epidemic consumption. This trouble pleased her, and later she made use of it as an intrinsic part of her atmosphere—especially after several astounding bracers. So, while more or less fortunate little rich boys were defying governesses on the beach at Newport, or being spanked or tutored or read to from Do and Dare, or Frank on the Mississippi, Amory was biting acquiescent bellboys in the Waldorf, outgrowing a natural repugnance to chamber music and symphonies, and deriving a highly specialized education from his mother.	She enjoyed being ill and later used it to create a certain image of herself, especially after a few strong drinks.

There were three private cars; however, no one slept except in the third car, which was called the “animal car,” and where were herded the spectacled windjammers of the orchestra.	There was a proper consumption of strong waters all along the line; one man invariably went on the stage highly stimulated, claiming that his particular interpretation of the part required it. There were three private cars; however, no one slept except in the third car, which was called the “animal car,” and where were herded the spectacled windjammers of the orchestra. Everything was so hurried that there was no time to be bored, but when they arrived in Philadelphia, with vacation nearly over, there was rest in getting out of the heavy atmosphere of flowers and greasepaint, and the ponies took off their corsets with abdominal pains and sighs of relief.	They had three private train cars, but only the musicians in the orchestra, who were crammed into the third car (nicknamed the "animal car"), slept there.

“Don’t remember them all—besides my name isn’t Madeline, it’s Eleanor.”	“Answer my question, Madeline.” “Don’t remember them all—besides my name isn’t Madeline, it’s Eleanor.” “I might have guessed it.	"I don't remember all the questions—and anyway, my name isn't Madeline, it's Eleanor."

Eventually she had decided to marry for background, and the young pagan from Asheville had gone through a spiritual crisis, joined the Catholic Church, and was now—Monsignor Darcy.	When she had first returned to her country there had been a pagan, Swinburnian young man in Asheville, for whose passionate kisses and unsentimental conversations she had taken a decided penchant—they had discussed the matter pro and con with an intellectual romancing quite devoid of sappiness. Eventually she had decided to marry for background, and the young pagan from Asheville had gone through a spiritual crisis, joined the Catholic Church, and was now—Monsignor Darcy. “Indeed, Mrs. Blaine, he is still delightful company—quite the cardinal’s right-hand man.”	Eventually, she decided to marry for social standing, and the young, non-religious man from Asheville had a spiritual awakening, became Catholic, and was now Monsignor Darcy.

Yet here she is allow’d her virgin crants, Her maiden strewments and the bringing home Of bell and burial.	Her obsequies have been as far enlarged As we have warranty: her death was doubtful; And, but that great command o’ersways the order, She should in ground unsanctified have lodged Till the last trumpet; for charitable prayers, Shards, flints and pebbles should be thrown on her: Yet here she is allow’d her virgin crants, Her maiden strewments and the bringing home Of bell and burial.	But despite this, she's being given a proper burial with virgin wreaths, maiden flowers scattered on her grave, and the solemn tolling of the bell.

What art thou that usurp’st this time of night, Together with that fair and warlike form In which the majesty of buried Denmark Did sometimes march?	What art thou that usurp’st this time of night, Together with that fair and warlike form In which the majesty of buried Denmark Did sometimes march? by heaven I charge thee, speak!	Who are you, taking over this time of night, appearing in that noble and soldierly shape in which the dead king of Denmark used to march?

Amory called a greeting and descending a flight of wooden steps approached the car.	cried Alec. Amory called a greeting and descending a flight of wooden steps approached the car. He and Alec had been meeting intermittently, but the barrier of Rosalind lay always between them.	Amory greeted him and walked down some wooden steps to the car.

Ay, and a bold one, that dare look on that Which might appal the devil.	Ay, and a bold one, that dare look on that Which might appal the devil.	Yes, and a brave person, who dares to look at something that would horrify even the devil.

I possess the most valuable experience, the experience of the race, for in spite of going to college I’ve managed to pick up a good education.”	“Which may only mean that I have neither been corrupted nor made timid by contemporary experience. I possess the most valuable experience, the experience of the race, for in spite of going to college I’ve managed to pick up a good education.” “You talk glibly.”	I have the most important kind of experience: the collective wisdom of humanity. Even though I went to college, I still managed to get a real education.

Mine and my father’s death come not upon thee, Nor thine on me!	Exchange forgiveness with me, noble Hamlet: Mine and my father’s death come not upon thee, Nor thine on me! (Dies.)	Don't let my death and my father's death be your fault, and don't let your death be my fault!

(Pours the poison into the sleeper’s ears.)	Thoughts black, hands apt, drugs fit, and time agreeing; Confederate season, else no creature seeing; Thou mixture rank, of midnight weeds collected, With Hecate’s ban thrice blasted, thrice infected, Thy natural magic and dire property, On wholesome life usurp immediately. (Pours the poison into the sleeper’s ears.)	(Pours the poison into the sleeper's ears.)

“It’s going down my neck, fellow lunatic,” she offered finally.	There was a silence as they listened to the rain. “It’s going down my neck, fellow lunatic,” she offered finally. “Answer my questions.”	"It's dripping down my neck, you crazy person," she finally said.

Prithee, peace: I dare do all that may become a man; Who dares do more is none.	Prithee, peace: I dare do all that may become a man; Who dares do more is none.	Please, be quiet: I dare to do everything that is appropriate for a man; whoever dares to do more is not a man at all.

Why, as a woodcock to mine own springe, Osric; I am justly kill’d with mine own treachery.	Why, as a woodcock to mine own springe, Osric; I am justly kill’d with mine own treachery.	Well, Osric, like a woodcock caught in my own trap, I'm rightly killed by my own deceit.

The slickers of that year had adopted tortoiseshell spectacles as badges of their slickerhood, and this made them so easy to recognize that Amory and Rahill never missed one.	He dressed well, was particularly neat in appearance, and derived his name from the fact that his hair was inevitably worn short, soaked in water or tonic, parted in the middle, and slicked back as the current of fashion dictated. The slickers of that year had adopted tortoiseshell spectacles as badges of their slickerhood, and this made them so easy to recognize that Amory and Rahill never missed one. The slicker seemed distributed through school, always a little wiser and shrewder than his contemporaries, managing some team or other, and keeping his cleverness carefully concealed.	That year, the slickers wore tortoiseshell glasses as a symbol of their group, making them easily identifiable, so Amory and Rahill always spotted them.

“All—your—wonderful words Thrill me through—” The violins swelled and quavered on the last notes, the girl sank to a crumpled butterfly on the stage, a great burst of clapping filled the house.	“Oh—you—wonderful girl, What a wonderful girl you are—” sang the tenor, and Amory agreed silently, but passionately. “All—your—wonderful words Thrill me through—” The violins swelled and quavered on the last notes, the girl sank to a crumpled butterfly on the stage, a great burst of clapping filled the house. Oh, to fall in love like that, to the languorous magic melody of such a tune!	"All your wonderful words thrill me through—" The violins grew louder and trembled on the final notes, the girl collapsed gracefully on the stage, and the audience erupted in applause.

I wanted to come out here with you because I thought you were the best-looking girl in sight.	“Let’s be frank—we’ll never see each other again. I wanted to come out here with you because I thought you were the best-looking girl in sight. You really don’t care whether you ever see me again, do you?”	I wanted to come out here with you because I thought you were the most attractive girl here.

To-morrow, as he purposes.	To-morrow, as he purposes.	Tomorrow, as he plans.

With the instinct of a child Amory edged in under the blue darkness of the white buildings, cleaving the moonlight for haggard seconds, once bursting into a slow run with clumsy stumblings.	Amory’s shadow lay, perhaps, ten feet ahead of him, and soft shoes was presumably that far behind. With the instinct of a child Amory edged in under the blue darkness of the white buildings, cleaving the moonlight for haggard seconds, once bursting into a slow run with clumsy stumblings. After that he stopped suddenly; he must keep hold, he thought.	Like a child, Amory slipped into the shadows of the buildings, briefly cutting through the moonlight, and then suddenly ran awkwardly.

He awoke laughing and his eyes lazily roamed his surroundings, evidently a bedroom and bath in a good hotel.	He awoke laughing and his eyes lazily roamed his surroundings, evidently a bedroom and bath in a good hotel. His head was whirring and picture after picture was forming and blurring and melting before his eyes, but beyond the desire to laugh he had no entirely conscious reaction.	He woke up laughing, his eyes slowly looking around at what was clearly a nice hotel bedroom and bathroom.

They dressed and ate breakfast in silence, and then sauntered out to get some air.	Sloane was snoring heavily, his clothes in a pile by his bed. They dressed and ate breakfast in silence, and then sauntered out to get some air. Amory’s mind was working slowly, trying to assimilate what had happened and separate from the chaotic imagery that stacked his memory the bare shreds of truth.	They got dressed, ate breakfast quietly, and then strolled out for some fresh air.

“And you’re holding my hand, which is dangerous without seeing my face.”	he exclaimed. “And you’re holding my hand, which is dangerous without seeing my face.” He dropped it quickly.	"And you're holding my hand, which is risky if you can't see my face."

It was a day easily associated with those abstract truths and purities that dissolve in the sunshine or fade out in mocking laughter by the light of the moon.	It was a gray day, that least fleshly of all weathers; a day of dreams and far hopes and clear visions. It was a day easily associated with those abstract truths and purities that dissolve in the sunshine or fade out in mocking laughter by the light of the moon. The trees and clouds were carved in classical severity; the sounds of the countryside had harmonized to a monotone, metallic as a trumpet, breathless as the Grecian urn.	It was a day that made you think of pure, abstract ideas that disappear when things are clear and bright or when reality mocks them.

From Fife, great king; Where the Norweyan banners flout the sky And fan our people cold.	From Fife, great king; Where the Norweyan banners flout the sky And fan our people cold. Norway himself, With terrible numbers, Assisted by that most disloyal traitor The thane of Cawdor, began a dismal conflict; Till that Bellona's bridegroom, lapp'd in proof, Confronted him with self-comparisons, Point against point rebellious, arm 'gainst arm.	From Fife, great king, where the Norwegian flags wave mockingly in the sky and chill our people.

“Victorians, Victorians, who never learned to weep Who sowed the bitter harvest that your children go to reap—” scribbled Amory in his notebook.	So he sat one day in an English lecture and heard “Locksley Hall” quoted and fell into a brown study with contempt for Tennyson and all he stood for—for he took him as a representative of the Victorians. “Victorians, Victorians, who never learned to weep Who sowed the bitter harvest that your children go to reap—” scribbled Amory in his notebook. The lecturer was saying something about Tennyson’s solidity and fifty heads were bent to take notes.	"Victorians, Victorians, you never learned to feel real sorrow. You planted the seeds of pain that your children will suffer from," Amory scribbled in his notebook.

Tom and Amory, bound in the morning for different training-camps, paced the shadowy walks as usual and seemed still to see around them the faces of the men they knew.	Then the night came that was to be the last. Tom and Amory, bound in the morning for different training-camps, paced the shadowy walks as usual and seemed still to see around them the faces of the men they knew. “The grass is full of ghosts tonight.”	Tom and Amory, who were leaving for different training camps in the morning, walked the dark paths like they always did and imagined they could still see the faces of their friends around them.

Phyllis’s feelings as she was paraded by the Harvard and Princeton stands, where sat dozens of her former devotees, can be imagined.	She was vociferously greeted and escorted enthusiastically across the campus, followed by half a hundred village urchins—to the stifled laughter of hundreds of alumni and visitors, half of whom had no idea that this was a practical joke, but thought that Burne and Fred were two varsity sports showing their girl a collegiate time. Phyllis’s feelings as she was paraded by the Harvard and Princeton stands, where sat dozens of her former devotees, can be imagined. She tried to walk a little ahead, she tried to walk a little behind—but they stayed close, that there should be no doubt whom she was with, talking in loud voices of their friends on the football team, until she could almost hear her acquaintances whispering: “Phyllis Styles must be awfully hard up to have to come with those two.”	You can only imagine how Phyllis felt being shown off in front of the Harvard and Princeton stands, where many of her old admirers were sitting.

They say Bernard Shaw, in spite of his doctrines, is the most exacting of all dramatists about his royalties.	“You puzzle me,” said the big man, “but you’re all alike. They say Bernard Shaw, in spite of his doctrines, is the most exacting of all dramatists about his royalties. To the last farthing.”	People say Bernard Shaw, even though he preached certain beliefs, was the most demanding playwright when it came to getting paid his royalties.

a puzzled, furtive interest in everything concerning sex.	an unholy selfishness. a puzzled, furtive interest in everything concerning sex. There was, also, a curious strain of weakness running crosswise through his makeup.	A confused and secretive interest in sex.

And, for that purpose, I’ll anoint my sword.	I will do’t: And, for that purpose, I’ll anoint my sword.	And for that reason, I'll grease my sword.

In every store where she had ever traded she was whispered about as the beautiful Mrs. Page.	Shopping with her was a rare, epicurean dream. In every store where she had ever traded she was whispered about as the beautiful Mrs. Page. “I’ll bet she won’t stay single long.”	People whispered about her as the beautiful Mrs. Page in every store where she had shopped.

“Kids—child’s play!” scoffed his antagonist.	If you’d gone to college you’d have been struck by the fact that the men there would work twice as hard for any one of a hundred petty honors as those other men did who were earning their way through.” “Kids—child’s play!” scoffed his antagonist. “Not by a darned sight—unless we’re all children.	"That's just kids stuff—easy!" his opponent scoffed.

They were the Blaines of Lake Geneva; they had quite enough relatives to serve in place of friends, and an enviable standing from Pasadena to Cape Cod.	The Blaines were attached to no city. They were the Blaines of Lake Geneva; they had quite enough relatives to serve in place of friends, and an enviable standing from Pasadena to Cape Cod. But Beatrice grew more and more prone to like only new acquaintances, as there were certain stories, such as the history of her constitution and its many amendments, memories of her years abroad, that it was necessary for her to repeat at regular intervals.	They were the Blaines from Lake Geneva, with plenty of relatives who acted as friends, and a respected reputation from Pasadena to Cape Cod.

“Oh, Dick Humbird and Kerry Holiday and Jesse Ferrenby	he demanded as he wriggled into his B.V.D.s. “Oh, Dick Humbird and Kerry Holiday and Jesse Ferrenby and	"Oh, Dick Humbird, Kerry Holiday, and Jesse Ferrenby..."

This same skull, sir, was Yorick’s skull, the king’s jester.	This same skull, sir, was Yorick’s skull, the king’s jester.	This very skull, sir, belonged to Yorick, the king's jester.

Touching this vision here, It is an honest ghost, that let me tell you: For your desire to know what is between us, O’ermaster’t as you may.	Yes, by Saint Patrick, but there is, Horatio, And much offence too. Touching this vision here, It is an honest ghost, that let me tell you: For your desire to know what is between us, O’ermaster’t as you may. And now, good friends, As you are friends, scholars and soldiers, Give me one poor request.	About this ghost, let me tell you, it's a truthful one. As for your desire to know what's between us, try to suppress it.

You, worthy uncle, Shall, with my cousin, your right-noble son, Lead our first battle: worthy Macduff and we Shall take upon 's what else remains to do, According to our order.	And show like those you are. You, worthy uncle, Shall, with my cousin, your right-noble son, Lead our first battle: worthy Macduff and we Shall take upon 's what else remains to do, According to our order.	You, my good uncle, will lead the first battle along with your noble son, my cousin. Worthy Macduff and I will take care of whatever else needs to be done, following our plan.

I would not have such a heart in my bosom for the dignity of the whole body.	I would not have such a heart in my bosom for the dignity of the whole body.	I wouldn't carry such a heart, even to protect my entire body.

Come to my woman's breasts, And take my milk for gall, you murdering ministers, Wherever in your sightless substances You wait on nature's mischief!	make thick my blood; Stop up the access and passage to remorse, That no compunctious visitings of nature Shake my fell purpose, nor keep peace between The effect and it! Come to my woman's breasts, And take my milk for gall, you murdering ministers, Wherever in your sightless substances You wait on nature's mischief! Come, thick night, And pall thee in the dunnest smoke of hell, That my keen knife see not the wound it makes, Nor heaven peep through the blanket of the dark, To cry 'Hold, hold!'	Come, evil spirits, take away my nurturing nature and replace it with bitterness. You who are unseen but serve evil, come help me!

