sub_sentence	context	target_sentence
speculative philosophy	Amory said to himself that there were essentially two sorts of people who through natural clarity or disillusion left the enclosure and sought the labyrinth. There were men like Wells and Plato, who had, half unconsciously, a strange, hidden orthodoxy, who would accept for themselves only what could be accepted for all men—incurable romanticists who never, for all their efforts, could enter the labyrinth as stark souls; there were on the other hand sword-like pioneering personalities, Samuel Butler, Renan, Voltaire, who progressed much slower, yet eventually much further, not in the direct pessimistic line of speculative philosophy but concerned in the eternal attempt to attach a positive value to life. Amory stopped.	There were men like Wells and Plato, who had, half unconsciously, a strange, hidden orthodoxy, who would accept for themselves only what could be accepted for all men—incurable romanticists who never, for all their efforts, could enter the labyrinth as stark souls; there were on the other hand sword-like pioneering personalities, Samuel Butler, Renan, Voltaire, who progressed much slower, yet eventually much further, not in the direct pessimistic line of speculative philosophy but concerned in the eternal attempt to attach a positive value to life.
a strong distrust	Amory stopped. He began for the first time in his life to have a strong distrust of all generalities and epigrams. They were too easy, too dangerous to the public mind.	He began for the first time in his life to have a strong distrust of all generalities and epigrams.
time in his life to have a strong distrust of all generalities and epigrams.	Amory stopped. He began for the first time in his life to have a strong distrust of all generalities and epigrams. They were too easy, too dangerous to the public mind.	He began for the first time in his life to have a strong distrust of all generalities and epigrams.
reached the public after thirty years in some such form: Benson and Chesterton had popularized Huysmans and Newman; Shaw had sugarcoated Nietzsche and Ibsen and Schopenhauer.	They were too easy, too dangerous to the public mind. Yet all thought usually reached the public after thirty years in some such form: Benson and Chesterton had popularized Huysmans and Newman; Shaw had sugarcoated Nietzsche and Ibsen and Schopenhauer. The man in the street heard the conclusions of dead genius through someone else’s clever paradoxes and didactic epigrams.	Yet all thought usually reached the public after thirty years in some such form: Benson and Chesterton had popularized Huysmans and Newman; Shaw had sugarcoated Nietzsche and Ibsen and Schopenhauer.
conclusions of dead genius through someone else’s clever paradoxes and didactic epigrams.	Yet all thought usually reached the public after thirty years in some such form: Benson and Chesterton had popularized Huysmans and Newman; Shaw had sugarcoated Nietzsche and Ibsen and Schopenhauer. The man in the street heard the conclusions of dead genius through someone else’s clever paradoxes and didactic epigrams. Life was a damned muddle.	The man in the street heard the conclusions of dead genius through someone else’s clever paradoxes and didactic epigrams.
didactic epigrams	Yet all thought usually reached the public after thirty years in some such form: Benson and Chesterton had popularized Huysmans and Newman; Shaw had sugarcoated Nietzsche and Ibsen and Schopenhauer. The man in the street heard the conclusions of dead genius through someone else’s clever paradoxes and didactic epigrams. Life was a damned muddle.	The man in the street heard the conclusions of dead genius through someone else’s clever paradoxes and didactic epigrams.
a damned muddle	The man in the street heard the conclusions of dead genius through someone else’s clever paradoxes and didactic epigrams. Life was a damned muddle. a football game with everyone offside and the referee gotten rid of—everyone claiming the referee would have been on his side.	Life was a damned muddle.
rushing wildly back, shouting that they had found it.	Progress was a labyrinth. people plunging blindly in and then rushing wildly back, shouting that they had found it. the invisible king—the élan vital—the principle of evolution.	people plunging blindly in and then rushing wildly back, shouting that they had found it.
king—the élan vital—the principle of evolution.	people plunging blindly in and then rushing wildly back, shouting that they had found it. the invisible king—the élan vital—the principle of evolution. writing a book, starting a war, founding a school.	the invisible king—the élan vital—the principle of evolution.
a selfish man	writing a book, starting a war, founding a school. Amory, even had he not been a selfish man, would have started all inquiries with himself. He was his own best example—sitting in the rain, a human creature of sex and pride, foiled by chance and his own temperament of the balm of love and children, preserved to help in building up the living consciousness of the race.	Amory, even had he not been a selfish man, would have started all inquiries with himself.
sitting in the rain, a human creature of sex and pride, foiled by chance and his own temperament of the balm of love and children, preserved to help in building up the living consciousness of the race.	Amory, even had he not been a selfish man, would have started all inquiries with himself. He was his own best example—sitting in the rain, a human creature of sex and pride, foiled by chance and his own temperament of the balm of love and children, preserved to help in building up the living consciousness of the race. In self-reproach and loneliness and disillusion he came to the entrance of the labyrinth.	He was his own best example—sitting in the rain, a human creature of sex and pride, foiled by chance and his own temperament of the balm of love and children, preserved to help in building up the living consciousness of the race.
entrance of the labyrinth.	He was his own best example—sitting in the rain, a human creature of sex and pride, foiled by chance and his own temperament of the balm of love and children, preserved to help in building up the living consciousness of the race. In self-reproach and loneliness and disillusion he came to the entrance of the labyrinth. Another dawn flung itself across the river, a belated taxi hurried along the street, its lamps still shining like burning eyes in a face white from a night’s carouse.	In self-reproach and loneliness and disillusion he came to the entrance of the labyrinth.
a night’s carouse	In self-reproach and loneliness and disillusion he came to the entrance of the labyrinth. Another dawn flung itself across the river, a belated taxi hurried along the street, its lamps still shining like burning eyes in a face white from a night’s carouse. A melancholy siren sounded far down the river.	Another dawn flung itself across the river, a belated taxi hurried along the street, its lamps still shining like burning eyes in a face white from a night’s carouse.
a belated taxi	In self-reproach and loneliness and disillusion he came to the entrance of the labyrinth. Another dawn flung itself across the river, a belated taxi hurried along the street, its lamps still shining like burning eyes in a face white from a night’s carouse. A melancholy siren sounded far down the river.	Another dawn flung itself across the river, a belated taxi hurried along the street, its lamps still shining like burning eyes in a face white from a night’s carouse.
shining like burning eyes in a face white from a night’s carouse.	In self-reproach and loneliness and disillusion he came to the entrance of the labyrinth. Another dawn flung itself across the river, a belated taxi hurried along the street, its lamps still shining like burning eyes in a face white from a night’s carouse. A melancholy siren sounded far down the river.	Another dawn flung itself across the river, a belated taxi hurried along the street, its lamps still shining like burning eyes in a face white from a night’s carouse.
A melancholy siren	Another dawn flung itself across the river, a belated taxi hurried along the street, its lamps still shining like burning eyes in a face white from a night’s carouse. A melancholy siren sounded far down the river.	A melancholy siren sounded far down the river.
sounded far down the river.	Another dawn flung itself across the river, a belated taxi hurried along the street, its lamps still shining like burning eyes in a face white from a night’s carouse. A melancholy siren sounded far down the river.	A melancholy siren sounded far down the river.
solemn high mass	It was magnificently Catholic and liturgical. Bishop O’Neill sang solemn high mass and the cardinal gave the final absolutions. Thornton Hancock, Mrs. Lawrence, the British and Italian ambassadors, the papal delegate, and a host of friends and priests were there—yet the inexorable shears had cut through all these threads that Monsignor had gathered into his hands.	Bishop O’Neill sang solemn high mass and the cardinal gave the final absolutions.
the final absolutions	It was magnificently Catholic and liturgical. Bishop O’Neill sang solemn high mass and the cardinal gave the final absolutions. Thornton Hancock, Mrs. Lawrence, the British and Italian ambassadors, the papal delegate, and a host of friends and priests were there—yet the inexorable shears had cut through all these threads that Monsignor had gathered into his hands.	Bishop O’Neill sang solemn high mass and the cardinal gave the final absolutions.
the British and Italian ambassadors	Bishop O’Neill sang solemn high mass and the cardinal gave the final absolutions. Thornton Hancock, Mrs. Lawrence, the British and Italian ambassadors, the papal delegate, and a host of friends and priests were there—yet the inexorable shears had cut through all these threads that Monsignor had gathered into his hands. To Amory it was a haunting grief to see him lying in his coffin, with closed hands upon his purple vestments.	Thornton Hancock, Mrs. Lawrence, the British and Italian ambassadors, the papal delegate, and a host of friends and priests were there—yet the inexorable shears had cut through all these threads that Monsignor had gathered into his hands.
the papal delegate	Bishop O’Neill sang solemn high mass and the cardinal gave the final absolutions. Thornton Hancock, Mrs. Lawrence, the British and Italian ambassadors, the papal delegate, and a host of friends and priests were there—yet the inexorable shears had cut through all these threads that Monsignor had gathered into his hands. To Amory it was a haunting grief to see him lying in his coffin, with closed hands upon his purple vestments.	Thornton Hancock, Mrs. Lawrence, the British and Italian ambassadors, the papal delegate, and a host of friends and priests were there—yet the inexorable shears had cut through all these threads that Monsignor had gathered into his hands.
the inexorable shears	Bishop O’Neill sang solemn high mass and the cardinal gave the final absolutions. Thornton Hancock, Mrs. Lawrence, the British and Italian ambassadors, the papal delegate, and a host of friends and priests were there—yet the inexorable shears had cut through all these threads that Monsignor had gathered into his hands. To Amory it was a haunting grief to see him lying in his coffin, with closed hands upon his purple vestments.	Thornton Hancock, Mrs. Lawrence, the British and Italian ambassadors, the papal delegate, and a host of friends and priests were there—yet the inexorable shears had cut through all these threads that Monsignor had gathered into his hands.
his purple vestments	Thornton Hancock, Mrs. Lawrence, the British and Italian ambassadors, the papal delegate, and a host of friends and priests were there—yet the inexorable shears had cut through all these threads that Monsignor had gathered into his hands. To Amory it was a haunting grief to see him lying in his coffin, with closed hands upon his purple vestments. His face had not changed, and, as he never knew he was dying, it showed no pain or fear.	To Amory it was a haunting grief to see him lying in his coffin, with closed hands upon his purple vestments.
a haunting grief	Thornton Hancock, Mrs. Lawrence, the British and Italian ambassadors, the papal delegate, and a host of friends and priests were there—yet the inexorable shears had cut through all these threads that Monsignor had gathered into his hands. To Amory it was a haunting grief to see him lying in his coffin, with closed hands upon his purple vestments. His face had not changed, and, as he never knew he was dying, it showed no pain or fear.	To Amory it was a haunting grief to see him lying in his coffin, with closed hands upon his purple vestments.
lying in his coffin, with closed hands upon his purple vestments.	Thornton Hancock, Mrs. Lawrence, the British and Italian ambassadors, the papal delegate, and a host of friends and priests were there—yet the inexorable shears had cut through all these threads that Monsignor had gathered into his hands. To Amory it was a haunting grief to see him lying in his coffin, with closed hands upon his purple vestments. His face had not changed, and, as he never knew he was dying, it showed no pain or fear.	To Amory it was a haunting grief to see him lying in his coffin, with closed hands upon his purple vestments.
Amory’s dear old friend	His face had not changed, and, as he never knew he was dying, it showed no pain or fear. It was Amory’s dear old friend, his and the others’—for the church was full of people with daft, staring faces, the most exalted seeming the most stricken. The cardinal, like an archangel in cope and mitre, sprinkled the holy water; the organ broke into sound; the choir began to sing the “Requiem Eternam.”	It was Amory’s dear old friend, his and the others’—for the church was full of people with daft, staring faces, the most exalted seeming the most stricken.
daft, staring faces	His face had not changed, and, as he never knew he was dying, it showed no pain or fear. It was Amory’s dear old friend, his and the others’—for the church was full of people with daft, staring faces, the most exalted seeming the most stricken. The cardinal, like an archangel in cope and mitre, sprinkled the holy water; the organ broke into sound; the choir began to sing the “Requiem Eternam.”	It was Amory’s dear old friend, his and the others’—for the church was full of people with daft, staring faces, the most exalted seeming the most stricken.
people with daft, staring faces, the most exalted seeming the most stricken.	His face had not changed, and, as he never knew he was dying, it showed no pain or fear. It was Amory’s dear old friend, his and the others’—for the church was full of people with daft, staring faces, the most exalted seeming the most stricken. The cardinal, like an archangel in cope and mitre, sprinkled the holy water; the organ broke into sound; the choir began to sing the “Requiem Eternam.”	It was Amory’s dear old friend, his and the others’—for the church was full of people with daft, staring faces, the most exalted seeming the most stricken.
archangel in cope and mitre, sprinkled the holy water; the organ broke into sound; the choir began to sing the “Requiem Eternam.”	It was Amory’s dear old friend, his and the others’—for the church was full of people with daft, staring faces, the most exalted seeming the most stricken. The cardinal, like an archangel in cope and mitre, sprinkled the holy water; the organ broke into sound; the choir began to sing the “Requiem Eternam.” All these people grieved because they had to some extent depended upon Monsignor.	The cardinal, like an archangel in cope and mitre, sprinkled the holy water; the organ broke into sound; the choir began to sing the “Requiem Eternam.”
the “Requiem Eternam	It was Amory’s dear old friend, his and the others’—for the church was full of people with daft, staring faces, the most exalted seeming the most stricken. The cardinal, like an archangel in cope and mitre, sprinkled the holy water; the organ broke into sound; the choir began to sing the “Requiem Eternam.” All these people grieved because they had to some extent depended upon Monsignor.	The cardinal, like an archangel in cope and mitre, sprinkled the holy water; the organ broke into sound; the choir began to sing the “Requiem Eternam.”
depended upon Monsignor.	The cardinal, like an archangel in cope and mitre, sprinkled the holy water; the organ broke into sound; the choir began to sing the “Requiem Eternam.” All these people grieved because they had to some extent depended upon Monsignor. Their grief was more than sentiment for the “crack in his voice or a certain break in his walk,” as Wells put it.	All these people grieved because they had to some extent depended upon Monsignor.
break in his walk,” as Wells put it.	All these people grieved because they had to some extent depended upon Monsignor. Their grief was more than sentiment for the “crack in his voice or a certain break in his walk,” as Wells put it. These people had leaned on Monsignor’s faith, his way of finding cheer, of making religion a thing of lights and shadows, making all light and shadow merely aspects of God.	Their grief was more than sentiment for the “crack in his voice or a certain break in his walk,” as Wells put it.
Monsignor’s faith	Their grief was more than sentiment for the “crack in his voice or a certain break in his walk,” as Wells put it. These people had leaned on Monsignor’s faith, his way of finding cheer, of making religion a thing of lights and shadows, making all light and shadow merely aspects of God. People felt safe when he was near.	These people had leaned on Monsignor’s faith, his way of finding cheer, of making religion a thing of lights and shadows, making all light and shadow merely aspects of God.
finding cheer, of making religion a thing of lights and shadows, making all light and shadow merely aspects of God.	Their grief was more than sentiment for the “crack in his voice or a certain break in his walk,” as Wells put it. These people had leaned on Monsignor’s faith, his way of finding cheer, of making religion a thing of lights and shadows, making all light and shadow merely aspects of God. People felt safe when he was near.	These people had leaned on Monsignor’s faith, his way of finding cheer, of making religion a thing of lights and shadows, making all light and shadow merely aspects of God.
Amory’s attempted sacrifice	People felt safe when he was near. Of Amory’s attempted sacrifice had been born merely the full realization of his disillusion, but of Monsignor’s funeral was born the romantic elf who was to enter the labyrinth with him. He found something that he wanted, had always wanted and always would want—not to be admired, as he had feared; not to be loved, as he had made himself believe; but to be necessary to people, to be indispensable; he remembered the sense of security he had found in Burne.	Of Amory’s attempted sacrifice had been born merely the full realization of his disillusion, but of Monsignor’s funeral was born the romantic elf who was to enter the labyrinth with him.
the full realization	People felt safe when he was near. Of Amory’s attempted sacrifice had been born merely the full realization of his disillusion, but of Monsignor’s funeral was born the romantic elf who was to enter the labyrinth with him. He found something that he wanted, had always wanted and always would want—not to be admired, as he had feared; not to be loved, as he had made himself believe; but to be necessary to people, to be indispensable; he remembered the sense of security he had found in Burne.	Of Amory’s attempted sacrifice had been born merely the full realization of his disillusion, but of Monsignor’s funeral was born the romantic elf who was to enter the labyrinth with him.
funeral was born the romantic elf who was to enter the labyrinth with him.	People felt safe when he was near. Of Amory’s attempted sacrifice had been born merely the full realization of his disillusion, but of Monsignor’s funeral was born the romantic elf who was to enter the labyrinth with him. He found something that he wanted, had always wanted and always would want—not to be admired, as he had feared; not to be loved, as he had made himself believe; but to be necessary to people, to be indispensable; he remembered the sense of security he had found in Burne.	Of Amory’s attempted sacrifice had been born merely the full realization of his disillusion, but of Monsignor’s funeral was born the romantic elf who was to enter the labyrinth with him.
the romantic elf	People felt safe when he was near. Of Amory’s attempted sacrifice had been born merely the full realization of his disillusion, but of Monsignor’s funeral was born the romantic elf who was to enter the labyrinth with him. He found something that he wanted, had always wanted and always would want—not to be admired, as he had feared; not to be loved, as he had made himself believe; but to be necessary to people, to be indispensable; he remembered the sense of security he had found in Burne.	Of Amory’s attempted sacrifice had been born merely the full realization of his disillusion, but of Monsignor’s funeral was born the romantic elf who was to enter the labyrinth with him.
found in Burne.	Of Amory’s attempted sacrifice had been born merely the full realization of his disillusion, but of Monsignor’s funeral was born the romantic elf who was to enter the labyrinth with him. He found something that he wanted, had always wanted and always would want—not to be admired, as he had feared; not to be loved, as he had made himself believe; but to be necessary to people, to be indispensable; he remembered the sense of security he had found in Burne. Life opened up in one of its amazing bursts of radiance and Amory suddenly and permanently rejected an old epigram that had been playing listlessly in his mind: “Very few things matter and nothing matters very much.”	He found something that he wanted, had always wanted and always would want—not to be admired, as he had feared; not to be loved, as he had made himself believe; but to be necessary to people, to be indispensable; he remembered the sense of security he had found in Burne.
one of its amazing bursts of radiance and Amory suddenly and permanently rejected an old epigram that had been playing listlessly in his mind: “Very few things matter and nothing matters very much.”	He found something that he wanted, had always wanted and always would want—not to be admired, as he had feared; not to be loved, as he had made himself believe; but to be necessary to people, to be indispensable; he remembered the sense of security he had found in Burne. Life opened up in one of its amazing bursts of radiance and Amory suddenly and permanently rejected an old epigram that had been playing listlessly in his mind: “Very few things matter and nothing matters very much.” On the contrary, Amory felt an immense desire to give people a sense of security.	Life opened up in one of its amazing bursts of radiance and Amory suddenly and permanently rejected an old epigram that had been playing listlessly in his mind: “Very few things matter and nothing matters very much.”
an old epigram	He found something that he wanted, had always wanted and always would want—not to be admired, as he had feared; not to be loved, as he had made himself believe; but to be necessary to people, to be indispensable; he remembered the sense of security he had found in Burne. Life opened up in one of its amazing bursts of radiance and Amory suddenly and permanently rejected an old epigram that had been playing listlessly in his mind: “Very few things matter and nothing matters very much.” On the contrary, Amory felt an immense desire to give people a sense of security.	Life opened up in one of its amazing bursts of radiance and Amory suddenly and permanently rejected an old epigram that had been playing listlessly in his mind: “Very few things matter and nothing matters very much.”
an immense desire	Life opened up in one of its amazing bursts of radiance and Amory suddenly and permanently rejected an old epigram that had been playing listlessly in his mind: “Very few things matter and nothing matters very much.” On the contrary, Amory felt an immense desire to give people a sense of security.	On the contrary, Amory felt an immense desire to give people a sense of security.
desire to give people a sense of security.	Life opened up in one of its amazing bursts of radiance and Amory suddenly and permanently rejected an old epigram that had been playing listlessly in his mind: “Very few things matter and nothing matters very much.” On the contrary, Amory felt an immense desire to give people a sense of security.	On the contrary, Amory felt an immense desire to give people a sense of security.
a colorless vault	On the day that Amory started on his walk to Princeton the sky was a colorless vault, cool, high and barren of the threat of rain. It was a gray day, that least fleshly of all weathers; a day of dreams and far hopes and clear visions.	 On the day that Amory started on his walk to Princeton the sky was a colorless vault, cool, high and barren of the threat of rain.
day of dreams and far hopes and clear visions.	On the day that Amory started on his walk to Princeton the sky was a colorless vault, cool, high and barren of the threat of rain. It was a gray day, that least fleshly of all weathers; a day of dreams and far hopes and clear visions. It was a day easily associated with those abstract truths and purities that dissolve in the sunshine or fade out in mocking laughter by the light of the moon.	It was a gray day, that least fleshly of all weathers; a day of dreams and far hopes and clear visions.
associated with those abstract truths and purities that dissolve in the sunshine or fade out in mocking laughter by the light of the moon.	It was a gray day, that least fleshly of all weathers; a day of dreams and far hopes and clear visions. It was a day easily associated with those abstract truths and purities that dissolve in the sunshine or fade out in mocking laughter by the light of the moon. The trees and clouds were carved in classical severity; the sounds of the countryside had harmonized to a monotone, metallic as a trumpet, breathless as the Grecian urn.	It was a day easily associated with those abstract truths and purities that dissolve in the sunshine or fade out in mocking laughter by the light of the moon.
sounds of the countryside had harmonized to a monotone, metallic as a trumpet, breathless as the Grecian urn.	It was a day easily associated with those abstract truths and purities that dissolve in the sunshine or fade out in mocking laughter by the light of the moon. The trees and clouds were carved in classical severity; the sounds of the countryside had harmonized to a monotone, metallic as a trumpet, breathless as the Grecian urn. The day had put Amory in such a contemplative mood that he caused much annoyance to several motorists who were forced to slow up considerably or else run him down.	The trees and clouds were carved in classical severity; the sounds of the countryside had harmonized to a monotone, metallic as a trumpet, breathless as the Grecian urn.
the Grecian urn	It was a day easily associated with those abstract truths and purities that dissolve in the sunshine or fade out in mocking laughter by the light of the moon. The trees and clouds were carved in classical severity; the sounds of the countryside had harmonized to a monotone, metallic as a trumpet, breathless as the Grecian urn. The day had put Amory in such a contemplative mood that he caused much annoyance to several motorists who were forced to slow up considerably or else run him down.	The trees and clouds were carved in classical severity; the sounds of the countryside had harmonized to a monotone, metallic as a trumpet, breathless as the Grecian urn.
classical severity	It was a day easily associated with those abstract truths and purities that dissolve in the sunshine or fade out in mocking laughter by the light of the moon. The trees and clouds were carved in classical severity; the sounds of the countryside had harmonized to a monotone, metallic as a trumpet, breathless as the Grecian urn. The day had put Amory in such a contemplative mood that he caused much annoyance to several motorists who were forced to slow up considerably or else run him down.	The trees and clouds were carved in classical severity; the sounds of the countryside had harmonized to a monotone, metallic as a trumpet, breathless as the Grecian urn.
several motorists	The trees and clouds were carved in classical severity; the sounds of the countryside had harmonized to a monotone, metallic as a trumpet, breathless as the Grecian urn. The day had put Amory in such a contemplative mood that he caused much annoyance to several motorists who were forced to slow up considerably or else run him down. So engrossed in his thoughts was he that he was scarcely surprised at that strange phenomenon—cordiality manifested within fifty miles of Manhattan—when a passing car slowed down beside him and a voice hailed him.	The day had put Amory in such a contemplative mood that he caused much annoyance to several motorists who were forced to slow up considerably or else run him down.
such a contemplative mood	The trees and clouds were carved in classical severity; the sounds of the countryside had harmonized to a monotone, metallic as a trumpet, breathless as the Grecian urn. The day had put Amory in such a contemplative mood that he caused much annoyance to several motorists who were forced to slow up considerably or else run him down. So engrossed in his thoughts was he that he was scarcely surprised at that strange phenomenon—cordiality manifested within fifty miles of Manhattan—when a passing car slowed down beside him and a voice hailed him.	The day had put Amory in such a contemplative mood that he caused much annoyance to several motorists who were forced to slow up considerably or else run him down.
much annoyance	The trees and clouds were carved in classical severity; the sounds of the countryside had harmonized to a monotone, metallic as a trumpet, breathless as the Grecian urn. The day had put Amory in such a contemplative mood that he caused much annoyance to several motorists who were forced to slow up considerably or else run him down. So engrossed in his thoughts was he that he was scarcely surprised at that strange phenomenon—cordiality manifested within fifty miles of Manhattan—when a passing car slowed down beside him and a voice hailed him.	The day had put Amory in such a contemplative mood that he caused much annoyance to several motorists who were forced to slow up considerably or else run him down.
motorists who were forced to slow up considerably or else run him down.	The trees and clouds were carved in classical severity; the sounds of the countryside had harmonized to a monotone, metallic as a trumpet, breathless as the Grecian urn. The day had put Amory in such a contemplative mood that he caused much annoyance to several motorists who were forced to slow up considerably or else run him down. So engrossed in his thoughts was he that he was scarcely surprised at that strange phenomenon—cordiality manifested within fifty miles of Manhattan—when a passing car slowed down beside him and a voice hailed him.	The day had put Amory in such a contemplative mood that he caused much annoyance to several motorists who were forced to slow up considerably or else run him down.
cordiality manifested within fifty miles of Manhattan—when a passing car slowed down beside him and a voice hailed him.	The day had put Amory in such a contemplative mood that he caused much annoyance to several motorists who were forced to slow up considerably or else run him down. So engrossed in his thoughts was he that he was scarcely surprised at that strange phenomenon—cordiality manifested within fifty miles of Manhattan—when a passing car slowed down beside him and a voice hailed him. He looked up and saw a magnificent Locomobile in which sat two middle-aged men, one of them small and anxious looking, apparently an artificial growth on the other who was large and begoggled and imposing.	So engrossed in his thoughts was he that he was scarcely surprised at that strange phenomenon—cordiality manifested within fifty miles of Manhattan—when a passing car slowed down beside him and a voice hailed him.
a magnificent Locomobile	So engrossed in his thoughts was he that he was scarcely surprised at that strange phenomenon—cordiality manifested within fifty miles of Manhattan—when a passing car slowed down beside him and a voice hailed him. He looked up and saw a magnificent Locomobile in which sat two middle-aged men, one of them small and anxious looking, apparently an artificial growth on the other who was large and begoggled and imposing. “Do you want a lift?” asked the apparently artificial growth, glancing from the corner of his eye at the imposing man as if for some habitual, silent corroboration.	He looked up and saw a magnificent Locomobile in which sat two middle-aged men, one of them small and anxious looking, apparently an artificial growth on the other who was large and begoggled and imposing.
sat two middle-aged men, one of them small and anxious looking, apparently an artificial growth on the other who was large and begoggled and imposing.	So engrossed in his thoughts was he that he was scarcely surprised at that strange phenomenon—cordiality manifested within fifty miles of Manhattan—when a passing car slowed down beside him and a voice hailed him. He looked up and saw a magnificent Locomobile in which sat two middle-aged men, one of them small and anxious looking, apparently an artificial growth on the other who was large and begoggled and imposing. “Do you want a lift?” asked the apparently artificial growth, glancing from the corner of his eye at the imposing man as if for some habitual, silent corroboration.	He looked up and saw a magnificent Locomobile in which sat two middle-aged men, one of them small and anxious looking, apparently an artificial growth on the other who was large and begoggled and imposing.
some habitual, silent corroboration	He looked up and saw a magnificent Locomobile in which sat two middle-aged men, one of them small and anxious looking, apparently an artificial growth on the other who was large and begoggled and imposing. “Do you want a lift?” asked the apparently artificial growth, glancing from the corner of his eye at the imposing man as if for some habitual, silent corroboration. “You bet I do.	“Do you want a lift?” asked the apparently artificial growth, glancing from the corner of his eye at the imposing man as if for some habitual, silent corroboration.
glancing from the corner of his eye at the imposing man as if for some habitual, silent corroboration.	He looked up and saw a magnificent Locomobile in which sat two middle-aged men, one of them small and anxious looking, apparently an artificial growth on the other who was large and begoggled and imposing. “Do you want a lift?” asked the apparently artificial growth, glancing from the corner of his eye at the imposing man as if for some habitual, silent corroboration. “You bet I do.	“Do you want a lift?” asked the apparently artificial growth, glancing from the corner of his eye at the imposing man as if for some habitual, silent corroboration.
settled himself in the middle of the back seat.	Thanks.” The chauffeur swung open the door, and, climbing in, Amory settled himself in the middle of the back seat. He took in his companions curiously.	The chauffeur swung open the door, and, climbing in, Amory settled himself in the middle of the back seat.
confidence in himself set off against a tremendous boredom with everything around him.	He took in his companions curiously. The chief characteristic of the big man seemed to be a great confidence in himself set off against a tremendous boredom with everything around him. That part of his face which protruded under the goggles was what is generally termed “strong”; rolls of not undignified fat had collected near his chin; somewhere above was a wide thin mouth and the rough model for a Roman nose, and, below, his shoulders collapsed without a struggle into the powerful bulk of his chest and belly.	The chief characteristic of the big man seemed to be a great confidence in himself set off against a tremendous boredom with everything around him.
a tremendous boredom	He took in his companions curiously. The chief characteristic of the big man seemed to be a great confidence in himself set off against a tremendous boredom with everything around him. That part of his face which protruded under the goggles was what is generally termed “strong”; rolls of not undignified fat had collected near his chin; somewhere above was a wide thin mouth and the rough model for a Roman nose, and, below, his shoulders collapsed without a struggle into the powerful bulk of his chest and belly.	The chief characteristic of the big man seemed to be a great confidence in himself set off against a tremendous boredom with everything around him.
not undignified fat	The chief characteristic of the big man seemed to be a great confidence in himself set off against a tremendous boredom with everything around him. That part of his face which protruded under the goggles was what is generally termed “strong”; rolls of not undignified fat had collected near his chin; somewhere above was a wide thin mouth and the rough model for a Roman nose, and, below, his shoulders collapsed without a struggle into the powerful bulk of his chest and belly. He was excellently and quietly dressed.	That part of his face which protruded under the goggles was what is generally termed “strong”; rolls of not undignified fat had collected near his chin; somewhere above was a wide thin mouth and the rough model for a Roman nose, and, below, his shoulders collapsed without a struggle into the powerful bulk of his chest and belly.
rolls of not undignified fat had collected near his chin; somewhere above was a wide thin mouth and the rough model for a Roman nose, and, below, his shoulders collapsed without a struggle into the powerful bulk of his chest and belly.	The chief characteristic of the big man seemed to be a great confidence in himself set off against a tremendous boredom with everything around him. That part of his face which protruded under the goggles was what is generally termed “strong”; rolls of not undignified fat had collected near his chin; somewhere above was a wide thin mouth and the rough model for a Roman nose, and, below, his shoulders collapsed without a struggle into the powerful bulk of his chest and belly. He was excellently and quietly dressed.	That part of his face which protruded under the goggles was what is generally termed “strong”; rolls of not undignified fat had collected near his chin; somewhere above was a wide thin mouth and the rough model for a Roman nose, and, below, his shoulders collapsed without a struggle into the powerful bulk of his chest and belly.
speculating steadily but hopelessly some baffling hirsute problem.	He was excellently and quietly dressed. Amory noticed that he was inclined to stare straight at the back of the chauffeur’s head as if speculating steadily but hopelessly some baffling hirsute problem. The smaller man was remarkable only for his complete submersion in the personality of the other.	Amory noticed that he was inclined to stare straight at the back of the chauffeur’s head as if speculating steadily but hopelessly some baffling hirsute problem.
some baffling hirsute problem	He was excellently and quietly dressed. Amory noticed that he was inclined to stare straight at the back of the chauffeur’s head as if speculating steadily but hopelessly some baffling hirsute problem. The smaller man was remarkable only for his complete submersion in the personality of the other.	Amory noticed that he was inclined to stare straight at the back of the chauffeur’s head as if speculating steadily but hopelessly some baffling hirsute problem.
the chauffeur’s head	He was excellently and quietly dressed. Amory noticed that he was inclined to stare straight at the back of the chauffeur’s head as if speculating steadily but hopelessly some baffling hirsute problem. The smaller man was remarkable only for his complete submersion in the personality of the other.	Amory noticed that he was inclined to stare straight at the back of the chauffeur’s head as if speculating steadily but hopelessly some baffling hirsute problem.
submersion in the personality of the other.	Amory noticed that he was inclined to stare straight at the back of the chauffeur’s head as if speculating steadily but hopelessly some baffling hirsute problem. The smaller man was remarkable only for his complete submersion in the personality of the other. He was of that lower secretarial type who at forty have engraved upon their business cards: “Assistant to the President,” and without a sigh consecrate the rest of their lives to secondhand mannerisms.	The smaller man was remarkable only for his complete submersion in the personality of the other.
his complete submersion	Amory noticed that he was inclined to stare straight at the back of the chauffeur’s head as if speculating steadily but hopelessly some baffling hirsute problem. The smaller man was remarkable only for his complete submersion in the personality of the other. He was of that lower secretarial type who at forty have engraved upon their business cards: “Assistant to the President,” and without a sigh consecrate the rest of their lives to secondhand mannerisms.	The smaller man was remarkable only for his complete submersion in the personality of the other.
