ORIGINAL	TRANSLATED

And so have I a noble father lost; A sister driven into desperate terms, Whose worth, if praises may go back again, Stood challenger on mount of all the age For her perfections: but my revenge will come.	And so I too have lost a great father; my sister has been pushed to the brink of despair. If we could only remember and praise her as she was, she was so perfect that she challenged everyone in the world. But I will get my revenge.

Break not your sleeps for that: you must not think That we are made of stuff so flat and dull That we can let our beard be shook with danger And think it pastime.	Don't lose sleep over it. You shouldn't think we're so stupid and lifeless that we'd let danger threaten us and consider it a joke.

You shortly shall hear more: I loved your father, and we love ourself; And that, I hope, will teach you to imagine—	You'll hear more about this soon. I loved your father, and I love myself, and I hope that will help you understand.

How now! what news?	Hey! What's up?

Letters, my lord, from Hamlet: This to your majesty; this to the queen.	Letters, sir, from Hamlet: this one's for you, your majesty; this one's for the queen.

From Hamlet! who brought them?	From Hamlet! Who brought them here?

Sailors, my lord, they say; I saw them not: They were given me by Claudio; he received them Of him that brought them.	Sailors, my lord, that's what they tell me. I didn't see them myself. Claudio sent them to me; he got them from whoever delivered them.

Laertes, you shall hear them. (Exit Messenger.)	Laertes, you will hear what they have to say.

(Reads.) “High and mighty, You shall know I am set naked on your kingdom.	(Reading.) "Your Highness, you should know I was left with nothing in your country."

To-morrow shall I beg leave to see your kingly eyes: when I shall, first asking your pardon thereunto, recount the occasion of my sudden and more strange return.	Tomorrow I'll ask permission to see you, the king. When I do, after apologizing for it, I'll explain why I came back so suddenly and unexpectedly.

Hamlet.”	Good Hamlet.

What should this mean? Are all the rest come back? Or is it some abuse, and no such thing?	What could this mean? Have all the others returned? Or is this a trick, and it isn't really happening?

Know you the hand?	Do you recognize the handwriting?

’Tis Hamlet’s character.	That's Hamlet's personality.

“Naked!” And in a postscript here, he says “alone.” Can you advise me?	"Naked!" And then added here, he writes "alone." What do you think I should do?

I’m lost in it, my lord.	I'm confused, my lord.

But let him come; It warms the very sickness in my heart, That I shall live and tell him to his teeth, “Thus didest thou.”	Let him come; it makes my heart feel better, even though I'm sick with grief, knowing I'll live long enough to confront him and say, "This is what you did."

If it be so, Laertes— As how should it be so? how otherwise?— Will you be ruled by me?	If that's true, Laertes—but how could it be? How could it be any other way?—will you take my advice?

Ay, my lord; So you will not o’errule me to a peace.	Yes, my lord; as long as you don't force me to make peace.

To thine own peace.	For your own well-being.

If he be now return’d, As checking at his voyage, and that he means No more to undertake it, I will work him To an exploit, now ripe in my device, Under the which he shall not choose but fall: And for his death no wind of blame shall breathe, But even his mother shall uncharge the practice And call it accident.	If he has come back now, as if he gave up on his trip and doesn't plan to continue, I will manipulate him into a dangerous plan I've been working on, one he'll certainly fail at. When he dies, no one will blame me; even his mother will dismiss it as an accident.

My lord, I will be ruled; The rather, if you could devise it so That I might be the organ.	My lord, I will follow your guidance, especially if you could arrange it so that I am the one who carries it out.

It falls right.	That seems correct.

You have been talk’d of since your travel much, And that in Hamlet’s hearing, for a quality Wherein, they say, you shine: your sum of parts Did not together pluck such envy from him As did that one, and that, in my regard, Of the unworthiest siege.	Since you've been traveling, people have been talking about you a lot, and Hamlet's heard it. They say you excel in a certain skill, and your combined talents never made him as jealous as that single one, which, in my opinion, is the least impressive.

What part is that, my lord?	What role is that, my lord?

A very riband in the cap of youth, Yet needful too; for youth no less becomes The light and careless livery that it wears Than settled age his sables and his weeds, Importing health and graveness.	A youthful flirtation, though necessary; young people look just as good in casual, carefree clothes as old people do in serious, dark outfits that suggest health and wisdom.

Two months since, Here was a gentleman of Normandy:— I’ve seen myself, and served against, the French, And they can well on horseback: but this gallant Had witchcraft in’t; he grew unto his seat; And to such wondrous doing brought his horse, As he had been incorpsed and demi-natured With the brave beast: so far he topp’d my thought, That I, in forgery of shapes and tricks, Come short of what he did.	Just two months ago, a nobleman from Normandy was here. I’ve fought against the French myself, and they're good riders, but this guy was like a magician. He became one with his horse, and made it do such incredible things, it was like they were a single creature, half-man, half-horse. He was so much better than anything I could imagine that I couldn't even come close to imitating his skills.

A Norman was’t?	Was it a Norman?

A Norman.	A Frenchman.

Upon my life, Lamond.	I swear, it's Lamond.

The very same.	Exactly.

I know him well: he is the brooch indeed And gem of all the nation.	I know him well: he really is the jewel and pride of our country.

He made confession of you, And gave you such a masterly report For art and exercise in your defence And for your rapier most especial, That he cried out, ’twould be a sight indeed, If one could match you: the scrimers of their nation, He swore, had had neither motion, guard, nor eye, If you opposed them.	He admitted he knew you, and praised your skill so highly—your technique and practice in defending yourself, and especially your swordsmanship—that he exclaimed it would be amazing to see you fight. He swore that the fencers of their country would have no chance against you, with no movement, guard, or awareness.

Sir, this report of his Did Hamlet so envenom with his envy That he could nothing do but wish and beg Your sudden coming o’er, to play with him. Now, out of this—	Sir, this account of him so poisoned Hamlet with envy that he could do nothing but wish and plead for your quick return to fence with him. And because of this—

What out of this, my lord?	What does this mean, my lord?

Laertes, was your father dear to you? Or are you like the painting of a sorrow, A face without a heart?	Laertes, did you truly love your father? Or are you just pretending to be sad, showing the appearance of grief but feeling nothing inside?

Why ask you this?	Why are you asking this?

Not that I think you did not love your father; But that I know love is begun by time; And that I see, in passages of proof, Time qualifies the spark and fire of it.	It's not that I don't believe you loved your father; But I know love starts gradually over time; And I see evidence that time changes and weakens even the strongest love.

There lives within the very flame of love A kind of wick or snuff that will abate it; And nothing is at a like goodness still; For goodness, growing to a plurisy, Dies in his own too much: that we would do, We should do when we would; for this “would” changes And hath abatements and delays as many As there are tongues, are hands, are accidents; And then this “should” is like a spendthrift sigh, That hurts by easing.	Even in the hottest love, there's something that will weaken it. Nothing stays perfectly good forever. Goodness, when it becomes excessive, destroys itself. What we want to do, we should do when we want to, because that "want" changes and faces as many obstacles and delays as there are people, actions, and unforeseen events. And then this "should" becomes like a relieved sigh that actually causes harm.

But, to the quick o’ the ulcer:— Hamlet comes back: what would you undertake, To show yourself your father’s son in deed More than in words?	Let's get to the heart of the problem: Hamlet's coming back. What would you do to prove you're truly your father's son, not just in what you say, but in what you do?

To cut his throat i’ the church.	To kill him in the church.

No place, indeed, should murder sanctuarize; Revenge should have no bounds.	Murder should have no safe haven anywhere. Revenge should have no limits.

But, good Laertes, Will you do this, keep close within your chamber.	Good Laertes, will you do this: stay in your room.

Hamlet return’d shall know you are come home: We’ll put on those shall praise your excellence And set a double varnish on the fame The Frenchman gave you, bring you in fine together And wager on your heads: he, being remiss, Most generous and free from all contriving, Will not peruse the foils; so that, with ease, Or with a little shuffling, you may choose A sword unbated, and in a pass of practice Requite him for your father.	When Hamlet comes back, he’ll know you’re here. We’ll get people to sing your praises, and build on the reputation the Frenchman gave you, then we'll match you both up. He, being careless and trusting, won’t check the swords carefully. So you can easily, or with a little trickery, pick a sword that isn’t blunted, and in a practice bout, avenge your father.

I will do’t: And, for that purpose, I’ll anoint my sword.	I will do it. And to that end, I'll poison my sword.

I bought an unction of a mountebank, So mortal that, but dip a knife in it, Where it draws blood no cataplasm so rare, Collected from all simples that have virtue Under the moon, can save the thing from death That is but scratch’d withal: I’ll touch my point With this contagion, that, if I gall him slightly, It may be death.	I bought poison from a con man, so deadly that if you just dip a knife in it, and it draws blood, no medicine, no matter how rare or made from the most potent herbs, can save the person who's even scratched by it. I'll touch my sword tip with this poison, so that if I just graze him, it will kill him.

Let’s further think of this; Weigh what convenience both of time and means May fit us to our shape: if this should fail, And that our drift look through our bad performance, ’Twere better not assay’d: therefore this project Should have a back or second, that might hold, If this should blast in proof.	Let's think about this more; consider how the timing and resources we have can help us succeed. If this plan fails, and our poor execution reveals our intentions, it would have been better not to try at all. Therefore, this plan should have a backup, a second option that can work if this one fails.

Soft! let me see: We’ll make a solemn wager on your cunnings: I ha’t.	Wait! Let me think. We'll make a serious bet on your skills: I've got it.

When in your motion you are hot and dry— As make your bouts more violent to that end— And that he calls for drink, I’ll have prepared him A chalice for the nonce, whereon but sipping, If he by chance escape your venom’d stuck, Our purpose may hold there.	When you're all hot and thirsty from moving around—as you'll make happen by fighting even harder—and he asks for a drink, I'll have a cup ready for the occasion. If he happens to survive your poisoned stab, our plan can still succeed there.

How now, sweet queen!	What's up, sweet queen?

One woe doth tread upon another’s heel, So fast they follow: your sister’s drown’d, Laertes.	One disaster follows right after another, so quickly: your sister, Laertes, has drowned.

Drown’d! O, where?	Drowned! Oh, where?

There is a willow grows aslant a brook, That shows his hoar leaves in the glassy stream; There with fantastic garlands did she come Of crow-flowers, nettles, daisies, and long purples That liberal shepherds give a grosser name, But our cold maids do dead men’s fingers call them: There, on the pendent boughs her coronet weeds Clambering to hang, an envious sliver broke; When down her weedy trophies and herself Fell in the weeping brook.	A willow tree leans over the stream, its pale leaves reflected in the water. Ophelia came there with strange, beautiful garlands made of wildflowers, nettles, daisies, and orchids (which shepherds call something crude, but young women call dead men's fingers). As she climbed the hanging branches to decorate them with her flower crown, a spiteful branch broke, and she fell into the brook with her flowers.

Her clothes spread wide; And, mermaid-like, awhile they bore her up: Which time she chanted snatches of old tunes; As one incapable of her own distress, Or like a creature native and indued Unto that element: but long it could not be Till that her garments, heavy with their drink, Pull’d the poor wretch from her melodious lay To muddy death.	Her clothes spread out around her, and like a mermaid, they kept her afloat for a while. During that time, she sang bits of old songs, as if unaware of her own danger, or like a creature born and accustomed to the water. But it couldn't last long before her clothes, heavy with water, dragged the poor girl from her beautiful singing to a muddy death.

Alas, then, she is drown’d?	Oh no, so she's drowned?

Drown’d, drown’d.	Dead. Dead.

Too much of water hast thou, poor Ophelia, And therefore I forbid my tears: but yet It is our trick; nature her custom holds, Let shame say what it will: when these are gone, The woman will be out.	You've had too much water already, poor Ophelia, so I won't cry. But it's just what we do; human nature takes over, no matter how shameful it seems. Once the tears stop, the woman in me will be gone.

Adieu, my lord: I have a speech of fire, that fain would blaze, But that this folly douts it. (Exit.)	Goodbye, my lord. I have an impassioned speech that desperately wants to burst out, but this foolishness suppresses it. (Exits.)

Let’s follow, Gertrude: How much I had to do to calm his rage! Now fear I this will give it start again; Therefore let’s follow. (Exeunt.)	Let's go after him, Gertrude. I had such a hard time calming him down! Now I'm afraid this will set him off again, so let's follow him. (They exit.)

Is she to be buried in Christian burial that wilfully seeks her own salvation?	Should she be buried with Christian rites when she deliberately took her own life?

I tell thee she is: and therefore make her grave straight: the crowner hath sat on her, and finds it Christian burial.	I'm telling you, yes. Go prepare her grave right away. The coroner investigated her death and has ruled that she should receive a Christian burial.

How can that be, unless she drowned herself in her own defence?	How could that happen, unless she killed herself to protect her reputation?

Why, ’tis found so.	Well, that's what we've found.

It must be “se offendendo;” it cannot be else.	It must be "while offending"; it can't be anything else.

For here lies the point: if I drown myself wittingly, it argues an act: and an act hath three branches; it is, to act, to do, to perform: argal, she drowned herself wittingly.	Because here's the thing: if I knowingly drown myself, it implies a deliberate action. And an action has three parts: the intention, the execution, and the completion. Therefore, she knowingly drowned herself.

Nay, but hear you, goodman delver—	Hey, listen to me, gravedigger—

Give me leave.	Let me go.

Here lies the water; good: here stands the man; good: if the man go to this water, and drown himself, it is, will he, nill he, he goes—mark you that; but if the water come to him and drown him, he drowns not himself: argal, he that is not guilty of his own death shortens not his own life.	Here's the water; good. Here's the man; good. If the man goes to the water and drowns himself, he does it willingly or unwillingly, but he goes—remember that. But if the water comes to him and drowns him, he doesn't drown himself. Therefore, someone who isn't responsible for their own death doesn't shorten their own life.

But is this law?	Is this legal?

Ay, marry, is’t; crowner’s quest law.	Yes, of course it is; it's the law according to the coroner's inquest.

Will you ha’ the truth on’t? If this had not been a gentlewoman, she should have been buried out o’ Christian burial.	Do you want the honest truth? If she hadn't been a noblewoman, she wouldn't have been allowed a Christian burial.

Why, there thou say’st: and the more pity that great folk should have countenance in this world to drown or hang themselves, more than their even Christian.	Well, there you have it. It’s a shame that rich people get away with suicide more easily than regular people.

Come, my spade.	Give me my shovel.

There is no ancient gentleman but gardeners, ditchers, and grave-makers: they hold up Adam’s profession.	The only truly old nobility are gardeners, ditch-diggers, and gravediggers: they carry on Adam's original job.

Was he a gentleman?	Was he a man of noble birth?

A’ was the first that ever bore arms.	He was the first ever to carry weapons.

Why, he had none.	Well, he didn't have any.

What, art a heathen? How dost thou understand the Scripture? The Scripture says “Adam digged:” could he dig without arms? I’ll put another question to thee: if thou answerest me not to the purpose, confess thyself—	What, are you an idiot? Do you even understand the Bible? The Bible says Adam dug; could he dig without arms? I'll ask you another question: if you don't answer properly, confess your sins.

Go to.	Come on.

What is he that builds stronger than either the mason, the shipwright, or the carpenter?	Who builds stronger things than a bricklayer, a shipbuilder, or a carpenter?

The gallows-maker; for that frame outlives a thousand tenants.	The person who builds gallows; because that structure lasts longer than a thousand people who live in houses.

I like thy wit well, in good faith: the gallows does well; but how does it well? it does well to those that do ill: now thou dost ill to say the gallows is built stronger than the church: argal, the gallows may do well to thee.	I really like your humor, honestly. The gallows is useful; but how is it useful? It's useful to those who do wrong. Now, you're wrong to say the gallows is built stronger than the church. Therefore, the gallows might be useful to you.

To’t again, come.	Try again, come on.

“Who builds stronger than a mason, a shipwright, or a carpenter?”	Who builds stronger than a bricklayer, a shipbuilder, or a carpenter?

Ay, tell me that, and unyoke.	Yes, tell me that, and I'll be at ease.

Marry, now I can tell.	Indeed, now I can tell you.

To’t.	Get to it.

Mass, I cannot tell.	Honestly, I don't know.

Cudgel thy brains no more about it, for your dull ass will not mend his pace with beating; and, when you are asked this question next, say “a grave-maker:” the houses that he makes last till doomsday.	Don't rack your brain about it anymore; your stupid mind won't work any faster by forcing it. And when you're asked that question again, say "a gravedigger:" the houses he makes last until the end of the world.

Go, get thee to Yaughan: fetch me a stoup of liquor. (Exit Second Clown. He digs and sings.)	Go, get yourself to the tavern: bring me a jug of alcohol.

In youth, when I did love, did love, Methought it was very sweet, To contract, O, the time, for, ah, my behove, O, methought, there was nothing meet.	When I was young and in love, I thought it was wonderful to shorten the time, oh, for my benefit. It seemed nothing was as good.

Has this fellow no feeling of his business, that he sings at grave-making?	Doesn't this guy realize what he's doing, singing while digging graves?

Custom hath made it in him a property of easiness.	He's used to it, so it's easy for him.

’Tis e’en so: the hand of little employment hath the daintier sense.	That's right: those who don't work hard have more delicate feelings.

(Sings.) But age, with his stealing steps, Hath claw’d me in his clutch, And hath shipped me intil the land, As if I had never been such.	(Singing) But old age, creeping up on me, Has grabbed me in its grasp and sent me to the grave, as if I never mattered.

That skull had a tongue in it, and could sing once: how the knave jowls it to the ground, as if it were Cain’s jaw-bone, that did the first murder! It might be the pate of a politician, which this ass now o’er-reaches; one that would circumvent God, might it not?	That skull used to be able to talk and sing. Look how the fool slams it down like it's the jawbone Cain used to commit the first murder! It might have been the head of a politician that this idiot is now digging up; someone who would try to outsmart God, wouldn't you think?

It might, my lord.	It could, my lord.

Or of a courtier; which could say “Good morrow, sweet lord! How dost thou, good lord?” This might be my lord such-a-one, that praised my lord such-a-one’s horse, when he meant to beg it; might it not?	Or a nobleman who would say, "Good morning, sweet lord! How are you, good lord?" This could be someone like that lord, who praised that other lord's horse when he really wanted to ask for it; couldn't it?

Ay, my lord.	Yes, my lord.

Why, e’en so: and now my Lady Worm’s; chapless, and knocked about the mazzard with a sexton’s spade: here’s fine revolution, an we had the trick to see’t.	Yes, exactly like that: and now she belongs to Lady Worm; her jaw is gone, and her skull's been smashed around with a gravedigger's shovel. Here's a lovely change, if we knew how to see it.

Did these bones cost no more the breeding, but to play at loggats with ’em? mine ache to think on’t.	Weren't these bones once used to raise someone? Is that all they're good for now, just tossing around like sticks? It hurts me to even think about it.

(Sings.) A pick-axe, and a spade, a spade, For and a shrouding sheet: O, a pit of clay for to be made For such a guest is meet.	(Singing) A pickaxe and a shovel, a shovel, And a burial cloth: Oh, a clay grave must be made Because this guest deserves it.

There’s another: why may not that be the skull of a lawyer? Where be his quiddities now, his quillets, his cases, his tenures, and his tricks? why does he suffer this rude knave now to knock him about the sconce with a dirty shovel, and will not tell him of his action of battery?	Here's another thought: why couldn't that be the skull of a lawyer? Where are his clever arguments now, his subtle distinctions, his legal cases, his land holdings, and his tricks? Why does he let this clumsy fool hit him on the head with a dirty shovel, and not sue him for assault?

Hum!	Hmm.

This fellow might be in’s time a great buyer of land, with his statutes, his recognizances, his fines, his double vouchers, his recoveries: is this the fine of his fines, and the recovery of his recoveries, to have his fine pate full of fine dirt? will his vouchers vouch him no more of his purchases, and double ones too, than the length and breadth of a pair of indentures? The very conveyances of his lands will hardly lie in this box; and must the inheritor himself have no more, ha?	This guy probably bought a lot of land back in the day, with all his legal documents. Is this what all those deals and court cases got him? A bald head full of dirt? Will his guarantees get him nothing more of all his property, even with double guarantees, than what can fit on a contract? The documents for his land won't even fit in this box. And does the person who inherited it get nothing more than this?

Not a jot more, my lord.	Not at all, my lord.

Is not parchment made of sheepskins?	Isn't parchment made from sheepskins?

Ay, my lord, and of calf-skins too.	Yes, sir, and made of calfskin as well.

They are sheep and calves which seek out assurance in that.	They're like sheep and cows, looking for safety in numbers.

I will speak to this fellow.	I'll talk to this guy.

Whose grave’s this, sirrah?	Hey, whose grave is this?

Mine, sir. (Sings.) O, a pit of clay for to be made For such a guest is meet.	Mine, sir. (Singing.) Oh, a grave is just the right thing to make for a guest like that.

I think it be thine, indeed; for thou liest in’t.	I think it's yours, actually; because you're lying about it.

You lie out on’t, sir, and therefore it is not yours: for my part, I do not lie in’t, and yet it is mine.	You're wrong about that, sir, so it's not yours. As for me, I'm not lying about it, and yet it is mine.

Thou dost lie in’t, to be in’t and say it is thine: ’tis for the dead, not for the quick; therefore thou liest.	You're lying, claiming it's yours while you're in it: it's for the dead, not the living; so you're lying.

’Tis a quick lie, sir; ’twill away again, from me to you.	That was a fast lie, sir; it went quickly from me to you.

What man dost thou dig it for?	Who are you digging this grave for?

For no man, sir.	For no one, sir.

What woman, then?	So, who is she?

For none, neither.	No one, not even one person.

Who is to be buried in’t?	Who's going to be buried in it?

One that was a woman, sir; but, rest her soul, she’s dead.	She used to be a woman, sir; but may her soul rest in peace, she's dead.

How absolute the knave is! we must speak by the card, or equivocation will undo us.	That guy's a complete fool! We have to be precise, or being vague will ruin us.

By the Lord, Horatio, these three years I have taken a note of it; the age is grown so picked that the toe of the peasant comes so near the heel of the courtier, he galls his kibe.	I swear, Horatio, I've noticed it for the past three years; society has become so refined that the commoner's shoe almost steps on the nobleman's heel, annoying him.

How long hast thou been a grave-maker?	How long have you been a gravedigger?

Of all the days i’ the year, I came to’t that day that our last king Hamlet overcame Fortinbras.	Of all the days in the year, it happened on the day our last King Hamlet defeated Fortinbras.

How long is that since?	How long ago was that?

Cannot you tell that? every fool can tell that: it was the very day that young Hamlet was born; he that is mad, and sent into England.	Can't you figure that out? Any idiot can tell you that: it was the very day young Hamlet was born; the one who's crazy and was sent to England.

Ay, marry, why was he sent into England?	Yes, indeed, why was he sent to England?

Why, because he was mad: he shall recover his wits there; or, if he do not, it’s no great matter there.	Well, because he was crazy. He'll get his sanity back there. And if he doesn't, it's not a big deal.

Why?	Why?

’Twill not be seen in him there; there the men are as mad as he.	They won't notice it in him there; the men there are just as crazy as he is.

How came he mad?	How did he go crazy?

Very strangely, they say.	They say it was very strange.

How strangely?	How odd?

Faith, e’en with losing his wits.	Indeed, even when he was going crazy.

Upon what ground?	On what basis?

Why, here in Denmark: I have been sexton here, man and boy, thirty years.	Well, here in Denmark: I've been a gravedigger here, man and boy, for thirty years.

How long will a man lie i’ the earth ere he rot?	How long does it take for a man to rot in the ground?

I’ faith, if he be not rotten before he die—as we have many pocky corses now-a-days, that will scarce hold the laying in—he will last you some eight year or nine year: a tanner will last you nine year.	Honestly, if he doesn't decay before he dies—and we have many diseased corpses these days that barely stay together long enough to be buried—he'll last you about eight or nine years. A leather maker will last you nine years.

Why he more than another?	Why him and not someone else?

Why, sir, his hide is so tanned with his trade, that he will keep out water a great while; and your water is a sore decayer of your whoreson dead body.	Well, his skin is so toughened from his job that it will keep water out for a long time; and water really makes a mess of your damn dead body.

Here’s a skull now; this skull has lain in the earth three and twenty years.	Here's a skull; this skull has been in the ground for twenty-three years.

Whose was it?	Whose was this?

A whoreson mad fellow’s it was: whose do you think it was?	It belonged to some crazy, low-life guy. Who do you think it belonged to?

Nay, I know not.	No, I don't know.

A pestilence on him for a mad rogue! a’ poured a flagon of Rhenish on my head once.	A curse on him, the crazy rascal! He once dumped a whole bottle of Rhine wine on my head.

This same skull, sir, was Yorick’s skull, the king’s jester.	This skull, sir, belonged to Yorick, the king's clown.

This?	Is it this?

E’en that.	Just that.

Let me see. (Takes the skull.)	Let me look. (Picks up the skull.)

Alas, poor Yorick!	Oh, poor Yorick!

I knew him, Horatio: a fellow of infinite jest, of most excellent fancy: he hath borne me on his back a thousand times; and now, how abhorred in my imagination it is! my gorge rises at it.	I knew him, Horatio: a guy with an endless sense of humor, with a wonderful imagination. He carried me on his back a thousand times; and now, how disgusting it is to think about! It makes me want to throw up.

Here hung those lips that I have kissed I know not how oft.	Here hung those lips I've kissed countless times.

Where be your gibes now? your gambols? your songs? your flashes of merriment, that were wont to set the table on a roar? Not one now, to mock your own grinning? quite chap-fallen? Now get you to my lady’s chamber, and tell her, let her paint an inch thick, to this favour she must come; make her laugh at that.	Where are your jokes now? Your playful jumps? Your songs? Your bursts of laughter that used to make everyone at the table roar? Not a single one now to make fun of your own grinning face? Completely downcast? Now go to my lady’s room and tell her that no matter how much makeup she wears, she’ll end up looking like this; make her laugh at that if you can.

Prithee, Horatio, tell me one thing.	Please, Horatio, tell me one thing.

What’s that, my lord?	What is it, sir?

Dost thou think Alexander looked o’ this fashion i’ the earth?	Do you think Alexander the Great looked like this in the ground?

E’en so.	Just so.

And smelt so? pah! (Puts down the skull.)	And smelled like that? Ugh! (Puts down the skull.)

E’en so, my lord.	Yes, my lord.

To what base uses we may return, Horatio! Why may not imagination trace the noble dust of Alexander, till he find it stopping a bung-hole?	Think about how low we can sink, Horatio! Why can't we imagine Alexander the Great's dust eventually ending up plugging a beer barrel?

’Twere to consider too curiously, to consider so.	Thinking about it too much is, well, thinking about it too much.

No, faith, not a jot; but to follow him thither with modesty enough, and likelihood to lead it: as thus: Alexander died, Alexander was buried, Alexander returneth into dust; the dust is earth; of earth we make loam; and why of that loam, whereto he was converted, might they not stop a beer-barrel?	No, honestly, not at all. But to follow him there with enough restraint, and a good chance of leading it, like this: Alexander died, Alexander was buried, Alexander turns to dust. The dust is earth. We make clay from earth. So why couldn't they use that clay, which he became, to plug a beer barrel?

Imperious Caesar, dead and turn’d to clay, Might stop a hole to keep the wind away: O, that that earth, which kept the world in awe, Should patch a wall to expel the winter flaw! But soft! but soft! aside: here comes the king,	Even mighty Caesar, now dead and turned to dust, could be used to plug a hole and keep the wind out. Oh, how the earth that once inspired fear in the world could end up patching a wall to block the winter wind! But wait, be quiet, step aside: here comes the king.

The queen, the courtiers: who is this they follow? And with such maimed rites? This doth betoken The corse they follow did with desperate hand Fordo its own life: ’twas of some estate.	The queen and her people, who are they following? And with such incomplete ceremonies? This suggests the dead person took their own life in despair: they must have been someone important.

Couch we awhile, and mark.	Let's hide and watch.

What ceremony else?	What other rituals are there?

That is Laertes, A very noble youth: mark.	That's Laertes, a really great young man: pay attention.

What ceremony else?	What other rituals are there?

Her obsequies have been as far enlarged As we have warranty: her death was doubtful; And, but that great command o’ersways the order, She should in ground unsanctified have lodged Till the last trumpet; for charitable prayers, Shards, flints and pebbles should be thrown on her: Yet here she is allow’d her virgin crants, Her maiden strewments and the bringing home Of bell and burial.	We gave her as much funeral as we were allowed. Her death was questionable. If the King hadn't overruled the rules, she would have been buried in unconsecrated ground until Judgment Day. Instead of prayers, people would have thrown broken pottery, stones, and pebbles on her grave. But here she is, being given a proper burial with virgin wreaths, flowers scattered on her grave, and the ringing of bells.

Must there no more be done?	Is there nothing else to do?

No more be done: We should profane the service of the dead To sing a requiem and such rest to her As to peace-parted souls.	Let's stop now. We would dishonor the dead to sing a funeral hymn and wish her the kind of rest given to those who die in peace.

Lay her i’ the earth: And from her fair and unpolluted flesh May violets spring!	Bury her in the ground, and may violets grow from her beautiful and pure flesh!

I tell thee, churlish priest, A ministering angel shall my sister be, When thou liest howling.	I'm telling you, you rude priest, my sister will be an angel in heaven when you're in hell, screaming.

What, the fair Ophelia!	What, beautiful Ophelia!

Sweets to the sweet: farewell! (Scattering flowers.)	Goodbye, sweet girl, I'm giving you these flowers.

I hoped thou shouldst have been my Hamlet’s wife; I thought thy bride-bed to have deck’d, sweet maid, And not have strew’d thy grave.	I hoped you would have been my son Hamlet's wife; I imagined decorating your wedding bed, sweet girl, not scattering flowers on your grave.

O, treble woe Fall ten times treble on that cursed head, Whose wicked deed thy most ingenious sense Deprived thee of!	Oh, may pain, multiplied thirty times over, strike that cursed person who robbed you of your sanity with their evil act!

Hold off the earth awhile, Till I have caught her once more in mine arms: (Leaps into the grave.)	Wait, someone hold me back from the grave for a moment, until I've held her in my arms one last time.

Now pile your dust upon the quick and dead, Till of this flat a mountain you have made, To o’ertop old Pelion, or the skyish head Of blue Olympus.	Now throw your dirt on the living and the dead, until you’ve made a mountain of this plain, taller than Mount Pelion or the sky-high peak of blue Olympus.

(Advancing.)	Forward.

What is he whose grief Bears such an emphasis? whose phrase of sorrow Conjures the wandering stars, and makes them stand Like wonder-wounded hearers? This is I, Hamlet the Dane. (Leaps into the grave.)	Who is it whose sadness is so strong? Whose words of grief move the stars in the sky, and make them stop and listen as if they were hurt by what they hear? It is I, Hamlet, Prince of Denmark.

The devil take thy soul! (Grappling with him.)	May the devil take your soul!

Thou pray’st not well.	You're not praying right.

I prithee, take thy fingers from my throat; For, though I am not splenitive and rash, Yet have I something in me dangerous, Which let thy wiseness fear: hold off thy hand.	Please, take your hands off my neck. Even though I'm not easily angered or quick to act, I have a dangerous side you should be afraid of. Let go of me.

Pluck them asunder.	Tear them apart.

Hamlet, Hamlet!	Hamlet, Hamlet!

Gentlemen—	Friends,

Good my lord, be quiet. (The Attendants part them, and they come out of the grave.)	My lord, please calm down.

Why, I will fight with him upon this theme Until my eyelids will no longer wag.	I'll fight him about this until I can't keep my eyes open anymore.

O my son, what theme?	Oh, my son, what's wrong?

I loved Ophelia: forty thousand brothers Could not, with all their quantity of love, Make up my sum.	I loved Ophelia. Even if forty thousand brothers combined all their love, it still wouldn't equal the amount I feel.

What wilt thou do for her?	What will you do for her?

O, he is mad, Laertes.	Oh, Laertes, he's crazy.

For love of God, forbear him.	For God's sake, leave him alone.

’Swounds, show me what thou’lt do: Woo’t weep? woo’t fight? woo’t fast? woo’t tear thyself? Woo’t drink up eisel? eat a crocodile? I’ll do’t.	Damn it, show me what you'll do! Will you weep? Will you fight? Will you fast? Will you hurt yourself? Will you drink vinegar? Eat a crocodile? I'll do it!

Dost thou come here to whine? To outface me with leaping in her grave? Be buried quick with her, and so will I: And, if thou prate of mountains, let them throw Millions of acres on us, till our ground, Singeing his pate against the burning zone, Make Ossa like a wart! Nay, an thou’lt mouth, I’ll rant as well as thou.	Did you come here to complain? To try to impress me by jumping into her grave? Be buried alive with her, and so will I! And if you talk about mountains, let them throw millions of acres on us, until our ground, scorching the sun's head, makes Mount Ossa look like a bump! No, if you're going to yell, I'll yell just as loud as you.

This is mere madness: And thus awhile the fit will work on him; Anon, as patient as the female dove, When that her golden couplets are disclosed, His silence will sit drooping.	This is just madness. For a while, these fits will keep affecting him. Soon, he'll be as calm as a dove when her baby birds hatch, and he'll be silent and sad again.

